[Header]
Application Name	LabSolutions
Version	5.101
Data File Name	C:\Users\User\Desktop\Mervan_EnyzmeML\Kinetics\Kinetics\ManNAc\H (5).lcd
Output Date	11.3.2026.
Output Time	14:07:49

[File Information]
Type	Data File
Generated	27.7.2022. 1:24:22
Generated by	System Administrator
Modified	28.7.2022. 9:07:47
Modified by	System Administrator

[Sample Information]
Operator Name	System Administrator
Acquired	27.7.2022. 1:24:38
Sample Type	0:Unknown
Level	0
Sample Name	
Sample ID	
ISTD Amount1	1
ISTD Amount2	1
ISTD Amount3	1
ISTD Amount4	1
ISTD Amount5	1
ISTD Amount6	1
ISTD Amount7	1
ISTD Amount8	1
ISTD Amount9	1
ISTD Amount10	1
ISTD Amount11	1
ISTD Amount12	1
ISTD Amount13	1
ISTD Amount14	1
ISTD Amount15	1
ISTD Amount16	1
ISTD Amount17	1
ISTD Amount18	1
ISTD Amount19	1
ISTD Amount20	1
ISTD Amount21	1
ISTD Amount22	1
ISTD Amount23	1
ISTD Amount24	1
ISTD Amount25	1
ISTD Amount26	1
ISTD Amount27	1
ISTD Amount28	1
ISTD Amount29	1
ISTD Amount30	1
ISTD Amount31	1
ISTD Amount32	1
Sample Amount	1
Dilution Factor	1
Vial#	11
Injection Volume	15

[Original Files]
Data File	C:\LabSolutions\Data\Project1\Mervan\Method development\2022-07-25 (ManNAc)\J4.lcd
Method File	C:\LabSolutions\Data\Project1\Mervan\Mervan Derivatization - Short - Isocratic.lcm
Batch File	C:\LabSolutions\Data\Project1\Mervan batch.lcb
Report Format File	c:\LabSolutions\System\DEFAULT.lsr

[File Description]


[Configuration]
Instrument Name	LC40_01
Instrument #	1
Line #	1
# of Detectors	1
Detector ID	PDA
Detector Name	PDA
# of Channels	1

[Peak Table(PDA-Ch1)]
# of Peaks	2
Peak#	R.Time	I.Time	F.Time	Area	Height	A/H	Conc.	Mark	ID#	Name	k'	Plate #	Plate Ht.	Tailing	Resolution	Sep.Factor	Area Ratio	Height Ratio	Conc. %	Norm Conc.
1	10,054	9,845	10,304	332113	48100	6,905	9,896	   			0,000	43378	3,458	1,367	0,000	0,000	0	0	0,000	0,000
2	10,571	10,315	10,976	3024049	301782	10,021	90,104	   			0,051	23592	6,358	1,126	2,204	0,000	0	0	0,000	0,000

[Compound Results(PDA)]
# of IDs	0

[Group Results(PDA)]
# of Groups	0

[LC Status Trace(Pump A Pressure)]
Interval(msec)	1000
# of Points	1921
Start Time(min)	0,000
End Time(min)	32,000
Intensity Units	bar
Intensity Multiplier	0,980665
R.Time (min)	Intensity
0,00000	80,7
0,01667	80,7
0,03333	78,8
0,05000	79,0
0,06667	79,6
0,08333	79,7
0,10000	80,5
0,11667	81,3
0,13333	81,5
0,15000	81,5
0,16667	81,1
0,18333	80,9
0,20000	80,7
0,21667	81,0
0,23333	81,0
0,25000	81,2
0,26667	81,2
0,28333	81,3
0,30000	81,3
0,31667	81,3
0,33333	81,4
0,35000	81,3
0,36667	81,4
0,38333	81,3
0,40000	81,3
0,41667	81,3
0,43333	81,3
0,45000	81,3
0,46667	81,3
0,48333	81,3
0,50000	81,4
0,51667	81,3
0,53333	81,3
0,55000	81,3
0,56667	81,3
0,58333	81,4
0,60000	81,3
0,61667	81,4
0,63333	81,3
0,65000	81,3
0,66667	81,3
0,68333	81,3
0,70000	81,3
0,71667	81,4
0,73333	81,3
0,75000	81,3
0,76667	81,3
0,78333	81,3
0,80000	81,3
0,81667	81,3
0,83333	81,3
0,85000	81,3
0,86667	81,3
0,88333	81,3
0,90000	81,3
0,91667	81,3
0,93333	81,2
0,95000	81,3
0,96667	81,3
0,98333	81,3
1,00000	81,3
1,01667	81,2
1,03333	81,2
1,05000	81,2
1,06667	81,3
1,08333	81,3
1,10000	81,3
1,11667	81,2
1,13333	81,2
1,15000	81,2
1,16667	81,2
1,18333	81,2
1,20000	81,2
1,21667	81,2
1,23333	81,3
1,25000	81,2
1,26667	81,2
1,28333	81,3
1,30000	81,2
1,31667	81,2
1,33333	81,2
1,35000	81,2
1,36667	81,2
1,38333	81,2
1,40000	81,2
1,41667	81,2
1,43333	81,2
1,45000	81,2
1,46667	81,2
1,48333	81,2
1,50000	81,2
1,51667	81,2
1,53333	81,2
1,55000	81,3
1,56667	81,2
1,58333	81,2
1,60000	81,2
1,61667	81,2
1,63333	81,2
1,65000	81,1
1,66667	81,1
1,68333	81,1
1,70000	81,2
1,71667	81,2
1,73333	81,1
1,75000	81,1
1,76667	81,2
1,78333	81,2
1,80000	81,2
1,81667	81,1
1,83333	81,1
1,85000	81,1
1,86667	81,1
1,88333	81,1
1,90000	81,1
1,91667	81,1
1,93333	81,1
1,95000	81,1
1,96667	81,0
1,98333	81,1
2,00000	81,1
2,01667	81,1
2,03333	81,1
2,05000	81,1
2,06667	81,1
2,08333	81,1
2,10000	81,1
2,11667	81,1
2,13333	81,0
2,15000	81,1
2,16667	81,0
2,18333	81,1
2,20000	81,1
2,21667	81,1
2,23333	81,1
2,25000	81,1
2,26667	81,0
2,28333	81,1
2,30000	81,0
2,31667	81,1
2,33333	81,1
2,35000	81,0
2,36667	81,1
2,38333	81,1
2,40000	81,1
2,41667	81,1
2,43333	81,0
2,45000	81,0
2,46667	81,0
2,48333	81,1
2,50000	81,0
2,51667	81,1
2,53333	81,1
2,55000	81,2
2,56667	81,0
2,58333	81,1
2,60000	81,1
2,61667	81,1
2,63333	81,0
2,65000	81,1
2,66667	81,1
2,68333	81,1
2,70000	81,1
2,71667	81,1
2,73333	81,1
2,75000	81,1
2,76667	81,0
2,78333	81,1
2,80000	81,1
2,81667	81,1
2,83333	81,1
2,85000	81,1
2,86667	81,1
2,88333	81,2
2,90000	81,1
