[Header]
Application Name	LabSolutions
Version	5.101
Data File Name	C:\Users\User\Desktop\Mervan_EnyzmeML\Kinetics\Kinetics\PEP\P5.lcd
Output Date	11.3.2026.
Output Time	14:13:42

[File Information]
Type	Data File
Generated	22.7.2022. 2:52:39
Generated by	System Administrator
Modified	22.7.2022. 8:20:08
Modified by	System Administrator

[Sample Information]
Operator Name	System Administrator
Acquired	22.7.2022. 2:52:56
Sample Type	0:Unknown
Level	0
Sample Name	
Sample ID	
ISTD Amount1	1
ISTD Amount2	1
ISTD Amount3	1
ISTD Amount4	1
ISTD Amount5	1
ISTD Amount6	1
ISTD Amount7	1
ISTD Amount8	1
ISTD Amount9	1
ISTD Amount10	1
ISTD Amount11	1
ISTD Amount12	1
ISTD Amount13	1
ISTD Amount14	1
ISTD Amount15	1
ISTD Amount16	1
ISTD Amount17	1
ISTD Amount18	1
ISTD Amount19	1
ISTD Amount20	1
ISTD Amount21	1
ISTD Amount22	1
ISTD Amount23	1
ISTD Amount24	1
ISTD Amount25	1
ISTD Amount26	1
ISTD Amount27	1
ISTD Amount28	1
ISTD Amount29	1
ISTD Amount30	1
ISTD Amount31	1
ISTD Amount32	1
Sample Amount	1
Dilution Factor	1
Vial#	24
Injection Volume	15

[Original Files]
Data File	C:\LabSolutions\Data\Project1\Mervan\Method development\2022-07-19 (PEP)\P5.lcd
Method File	C:\LabSolutions\Data\Project1\Mervan\Mervan Derivatization - Short - Isocratic.lcm
Batch File	C:\LabSolutions\Data\Project1\Mervan batch.lcb
Report Format File	c:\LabSolutions\System\DEFAULT.lsr

[File Description]


[Configuration]
Instrument Name	LC40_01
Instrument #	1
Line #	1
# of Detectors	1
Detector ID	PDA
Detector Name	PDA
# of Channels	1

[Peak Table(PDA-Ch1)]
# of Peaks	2
Peak#	R.Time	I.Time	F.Time	Area	Height	A/H	Conc.	Mark	ID#	Name	k'	Plate #	Plate Ht.	Tailing	Resolution	Sep.Factor	Area Ratio	Height Ratio	Conc. %	Norm Conc.
1	10,130	9,920	10,368	582398	87065	6,689	6,360	   			0,000	45731	3,280	1,417	0,000	0,000	0	0	0,000	0,000
2	10,619	10,368	11,019	8574519	846605	10,128	93,640	   			0,048	23593	6,358	1,143	2,097	0,000	0	0	0,000	0,000

[Compound Results(PDA)]
# of IDs	0

[Group Results(PDA)]
# of Groups	0

[LC Status Trace(Pump A Pressure)]
Interval(msec)	1000
# of Points	1921
Start Time(min)	0,000
End Time(min)	32,000
Intensity Units	bar
Intensity Multiplier	0,980665
R.Time (min)	Intensity
0,00000	76,6
0,01667	76,6
0,03333	76,8
0,05000	76,8
0,06667	77,6
0,08333	78,6
0,10000	78,6
0,11667	79,4
0,13333	79,4
0,15000	79,4
0,16667	79,1
0,18333	79,0
0,20000	79,0
0,21667	79,1
0,23333	79,1
0,25000	79,1
0,26667	79,3
0,28333	79,3
0,30000	79,3
0,31667	79,3
0,33333	79,2
0,35000	79,2
0,36667	79,3
0,38333	79,3
0,40000	79,3
0,41667	79,4
0,43333	79,4
0,45000	79,4
0,46667	79,3
0,48333	79,3
0,50000	79,3
0,51667	79,4
0,53333	79,3
0,55000	79,3
0,56667	79,3
0,58333	79,3
0,60000	79,3
0,61667	79,3
0,63333	79,3
0,65000	79,3
0,66667	79,3
0,68333	79,3
0,70000	79,3
0,71667	79,3
0,73333	79,3
0,75000	79,3
0,76667	79,3
0,78333	79,3
0,80000	79,3
0,81667	79,3
0,83333	79,3
0,85000	79,3
0,86667	79,3
0,88333	79,3
0,90000	79,3
0,91667	79,3
0,93333	79,3
0,95000	79,3
0,96667	79,3
0,98333	79,2
1,00000	79,2
1,01667	79,3
1,03333	79,3
1,05000	79,3
1,06667	79,3
1,08333	79,3
1,10000	79,3
1,11667	79,3
1,13333	79,3
1,15000	79,3
1,16667	79,2
1,18333	79,3
1,20000	79,3
1,21667	79,3
1,23333	79,2
1,25000	79,2
1,26667	79,3
1,28333	79,3
1,30000	79,3
1,31667	79,4
1,33333	79,2
1,35000	79,2
1,36667	79,3
1,38333	79,2
1,40000	79,2
1,41667	79,2
1,43333	79,2
1,45000	79,2
1,46667	79,2
1,48333	79,2
1,50000	79,2
1,51667	79,2
1,53333	79,2
1,55000	79,2
1,56667	79,2
1,58333	79,2
1,60000	79,2
1,61667	79,2
1,63333	79,2
1,65000	79,2
1,66667	79,2
1,68333	79,1
1,70000	79,1
1,71667	79,2
1,73333	79,2
1,75000	79,2
1,76667	79,1
1,78333	79,1
1,80000	79,1
1,81667	79,1
1,83333	79,1
1,85000	79,1
1,86667	79,1
1,88333	79,1
1,90000	79,1
1,91667	79,1
1,93333	79,1
1,95000	79,1
1,96667	79,1
1,98333	79,1
2,00000	79,1
2,01667	79,1
2,03333	79,1
2,05000	79,1
2,06667	79,1
2,08333	79,0
2,10000	79,0
2,11667	79,0
2,13333	79,1
2,15000	79,1
2,16667	79,1
2,18333	79,1
2,20000	79,1
2,21667	79,1
2,23333	79,0
2,25000	79,0
2,26667	79,0
2,28333	79,0
2,30000	79,0
2,31667	79,1
2,33333	79,1
2,35000	79,1
2,36667	79,0
2,38333	79,1
2,40000	79,1
2,41667	79,0
2,43333	79,0
2,45000	79,0
2,46667	79,1
2,48333	79,1
2,50000	79,1
2,51667	79,0
2,53333	79,1
2,55000	79,1
2,56667	79,1
2,58333	79,0
2,60000	79,0
2,61667	79,1
2,63333	79,1
2,65000	79,1
2,66667	79,1
2,68333	79,1
2,70000	79,1
2,71667	79,1
2,73333	79,0
2,75000	79,0
2,76667	79,1
2,78333	79,1
2,80000	79,1
2,81667	79,1
2,83333	79,2
2,85000	79,2
2,86667	79,1
2,88333	79,1
2,90000	79,1
2,91667	79,2
2,93333	79,2
2,95000	79,2
2,96667	79,2
2,98333	79,1
3,00000	79,1
3,01667	79,1
3,03333	79,2
3,05000	79,2
3,06667	79,1
3,08333	79,2
3,10000	79,2
3,11667	79,1
3,13333	79,2
3,15000	79,2
3,16667	79,2
3,18333	79,1
3,20000	79,1
3,21667	79,2
3,23333	79,2
3,25000	79,2
3,26667	79,2
3,28333	79,2
3,30000	79,2
3,31667	79,2
3,33333	79,3
3,35000	79,3
3,36667	79,2
3,38333	79,3
3,40000	79,3
3,41667	79,2
3,43333	79,2
3,45000	79,2
3,46667	79,3
3,48333	79,3
3,50000	79,3
3,51667	79,3
3,53333	79,4
3,55000	79,4
3,56667	79,3
3,58333	79,3
3,60000	79,3
3,61667	79,3
3,63333	79,4
3,65000	79,4
3,66667	79,3
3,68333	79,3
3,70000	79,3
3,71667	79,3
3,73333	79,3
3,75000	79,3
3,76667	79,4
3,78333	79,3
3,80000	79,4
3,81667	79,4
3,83333	79,4
3,85000	79,4
3,86667	79,4
3,88333	79,5
3,90000	79,5
3,91667	79,4
3,93333	79,5
3,95000	79,5
3,96667	79,4
3,98333	79,5
4,00000	79,5
4,01667	79,4
4,03333	79,5
4,05000	79,5
4,06667	79,5
4,08333	79,6
4,10000	79,6
4,11667	79,6
4,13333	79,4
4,15000	79,4
4,16667	79,5
4,18333	79,5
4,20000	79,5
4,21667	79,5
4,23333	79,5
4,25000	79,5
4,26667	79,8
4,28333	80,0
4,30000	80,0
4,31667	80,3
4,33333	80,3
4,35000	80,3
4,36667	80,3
4,38333	80,3
4,40000	80,3
4,41667	80,3
4,43333	80,3
4,45000	80,3
4,46667	80,3
4,48333	80,3
4,50000	80,3
4,51667	80,2
4,53333	80,3
4,55000	80,3
4,56667	80,1
4,58333	80,1
4,60000	80,1
4,61667	80,0
4,63333	80,0
4,65000	80,0
4,66667	79,8
4,68333	79,8
4,70000	79,8
4,71667	79,7
