[Header]
Application Name	LabSolutions
Version	5.101
Data File Name	C:\Users\User\Desktop\Mervan_EnyzmeML\Kinetics\Kinetics\ManNAc\D (4).lcd
Output Date	11.3.2026.
Output Time	14:07:42

[File Information]
Type	Data File
Generated	26.7.2022. 9:45:02
Generated by	System Administrator
Modified	28.7.2022. 9:05:27
Modified by	System Administrator

[Sample Information]
Operator Name	System Administrator
Acquired	26.7.2022. 9:45:18
Sample Type	0:Unknown
Level	0
Sample Name	
Sample ID	
ISTD Amount1	1
ISTD Amount2	1
ISTD Amount3	1
ISTD Amount4	1
ISTD Amount5	1
ISTD Amount6	1
ISTD Amount7	1
ISTD Amount8	1
ISTD Amount9	1
ISTD Amount10	1
ISTD Amount11	1
ISTD Amount12	1
ISTD Amount13	1
ISTD Amount14	1
ISTD Amount15	1
ISTD Amount16	1
ISTD Amount17	1
ISTD Amount18	1
ISTD Amount19	1
ISTD Amount20	1
ISTD Amount21	1
ISTD Amount22	1
ISTD Amount23	1
ISTD Amount24	1
ISTD Amount25	1
ISTD Amount26	1
ISTD Amount27	1
ISTD Amount28	1
ISTD Amount29	1
ISTD Amount30	1
ISTD Amount31	1
ISTD Amount32	1
Sample Amount	1
Dilution Factor	1
Vial#	34
Injection Volume	15

[Original Files]
Data File	C:\LabSolutions\Data\Project1\Mervan\Method development\2022-07-25 (ManNAc)\F3.lcd
Method File	C:\LabSolutions\Data\Project1\Mervan\Mervan Derivatization - Short - Isocratic.lcm
Batch File	C:\LabSolutions\Data\Project1\Mervan batch.lcb
Report Format File	c:\LabSolutions\System\DEFAULT.lsr

[File Description]


[Configuration]
Instrument Name	LC40_01
Instrument #	1
Line #	1
# of Detectors	1
Detector ID	PDA
Detector Name	PDA
# of Channels	1

[Peak Table(PDA-Ch1)]
# of Peaks	2
Peak#	R.Time	I.Time	F.Time	Area	Height	A/H	Conc.	Mark	ID#	Name	k'	Plate #	Plate Ht.	Tailing	Resolution	Sep.Factor	Area Ratio	Height Ratio	Conc. %	Norm Conc.
1	10,068	9,877	10,315	70866	9749	7,269	21,743	   			0,000	39496	3,798	1,055	0,000	0,000	0	0	0,000	0,000
2	10,608	10,389	11,008	255053	25357	10,058	78,257	   			0,054	23638	6,346	1,128	2,254	0,000	0	0	0,000	0,000

[Compound Results(PDA)]
# of IDs	0

[Group Results(PDA)]
# of Groups	0

[LC Status Trace(Pump A Pressure)]
Interval(msec)	1000
# of Points	1921
Start Time(min)	0,000
End Time(min)	32,000
Intensity Units	bar
Intensity Multiplier	0,980665
R.Time (min)	Intensity
0,00000	79,9
0,01667	79,9
0,03333	79,9
0,05000	78,5
0,06667	78,9
0,08333	79,4
0,10000	80,2
0,11667	80,7
0,13333	80,7
0,15000	80,9
0,16667	80,6
0,18333	80,4
0,20000	80,4
0,21667	80,6
0,23333	80,6
0,25000	80,6
0,26667	80,6
0,28333	80,7
0,30000	80,8
0,31667	80,8
0,33333	80,8
0,35000	80,8
0,36667	80,8
0,38333	80,8
0,40000	80,8
0,41667	80,8
0,43333	80,8
0,45000	80,8
0,46667	80,8
0,48333	80,8
0,50000	80,7
0,51667	80,8
0,53333	80,8
0,55000	80,8
0,56667	80,8
0,58333	80,8
0,60000	80,8
0,61667	80,8
0,63333	80,8
0,65000	80,8
0,66667	80,8
0,68333	80,8
0,70000	80,7
0,71667	80,8
0,73333	80,8
0,75000	80,8
0,76667	80,8
0,78333	80,8
0,80000	80,8
0,81667	80,8
0,83333	80,8
0,85000	80,8
0,86667	80,8
0,88333	80,8
0,90000	80,7
0,91667	80,7
0,93333	80,7
0,95000	80,7
0,96667	80,8
0,98333	80,7
1,00000	80,7
1,01667	80,8
1,03333	80,8
1,05000	80,8
1,06667	80,7
1,08333	80,8
1,10000	80,7
1,11667	80,8
1,13333	80,8
1,15000	80,7
1,16667	80,7
1,18333	80,7
1,20000	80,7
1,21667	80,7
1,23333	80,7
1,25000	80,8
1,26667	80,7
1,28333	80,8
1,30000	80,7
1,31667	80,8
1,33333	80,8
1,35000	80,7
1,36667	80,7
1,38333	80,7
1,40000	80,8
1,41667	80,8
1,43333	80,8
1,45000	80,7
1,46667	80,7
1,48333	80,7
1,50000	80,7
1,51667	80,7
1,53333	80,7
1,55000	80,7
1,56667	80,7
1,58333	80,7
1,60000	80,8
1,61667	80,6
1,63333	80,6
1,65000	80,7
1,66667	80,6
1,68333	80,7
1,70000	80,6
1,71667	80,7
1,73333	80,7
1,75000	80,7
1,76667	80,7
1,78333	80,6
1,80000	80,6
1,81667	80,6
1,83333	80,6
1,85000	80,6
1,86667	80,6
1,88333	80,6
1,90000	80,6
1,91667	80,6
1,93333	80,6
1,95000	80,6
1,96667	80,6
1,98333	80,6
2,00000	80,6
2,01667	80,5
2,03333	80,5
2,05000	80,6
2,06667	80,6
2,08333	80,6
2,10000	80,5
2,11667	80,6
2,13333	80,6
2,15000	80,6
2,16667	80,5
2,18333	80,5
2,20000	80,5
2,21667	80,6
2,23333	80,6
2,25000	80,5
2,26667	80,6
2,28333	80,6
2,30000	80,6
2,31667	80,5
2,33333	80,5
2,35000	80,6
2,36667	80,6
2,38333	80,6
2,40000	80,5
2,41667	80,6
2,43333	80,6
2,45000	80,6
2,46667	80,5
2,48333	80,6
2,50000	80,6
2,51667	80,6
2,53333	80,6
2,55000	80,6
2,56667	80,6
2,58333	80,6
2,60000	80,6
2,61667	80,5
2,63333	80,5
2,65000	80,6
2,66667	80,6
2,68333	80,5
2,70000	80,6
2,71667	80,6
2,73333	80,6
2,75000	80,5
2,76667	80,6
2,78333	80,7
2,80000	80,6
2,81667	80,6
2,83333	80,6
2,85000	80,6
2,86667	80,7
2,88333	80,6
2,90000	80,6
2,91667	80,6
2,93333	80,6
2,95000	80,6
2,96667	80,7
2,98333	80,6
3,00000	80,6
3,01667	80,6
3,03333	80,6
3,05000	80,7
3,06667	80,7
3,08333	80,6
3,10000	80,6
3,11667	80,7
3,13333	80,7
3,15000	80,7
3,16667	80,7
3,18333	80,7
3,20000	80,7
3,21667	80,7
3,23333	80,7
3,25000	80,7
3,26667	80,7
3,28333	80,7
3,30000	80,7
3,31667	80,7
3,33333	80,7
3,35000	80,7
3,36667	80,7
3,38333	80,7
3,40000	80,7
3,41667	80,8
3,43333	80,8
3,45000	80,7
3,46667	80,7
3,48333	80,8
3,50000	80,8
3,51667	80,7
3,53333	80,7
3,55000	80,9
3,56667	80,8
3,58333	80,8
3,60000	80,8
3,61667	80,9
3,63333	80,9
3,65000	80,9
3,66667	80,9
3,68333	80,9
3,70000	80,8
3,71667	80,8
3,73333	80,8
3,75000	80,8
3,76667	80,9
3,78333	80,9
3,80000	81,0
3,81667	80,8
3,83333	80,8
3,85000	80,9
3,86667	80,9
3,88333	80,9
3,90000	81,0
3,91667	80,9
3,93333	80,9
3,95000	81,0
3,96667	80,9
3,98333	80,9
4,00000	80,9
4,01667	81,0
4,03333	81,0
4,05000	81,0
4,06667	80,9
4,08333	81,1
4,10000	81,0
4,11667	81,0
4,13333	81,0
4,15000	81,0
4,16667	81,0
4,18333	81,0
4,20000	81,0
4,21667	81,0
4,23333	81,0
4,25000	81,1
4,26667	81,1
4,28333	81,2
4,30000	81,4
4,31667	81,5
4,33333	81,5
4,35000	81,8
4,36667	81,8
4,38333	81,8
4,40000	81,8
4,41667	81,8
4,43333	81,8
4,45000	81,8
4,46667	81,8
4,48333	81,8
4,50000	81,8
4,51667	81,8
4,53333	81,8
4,55000	81,7
4,56667	81,7
4,58333	81,6
4,60000	81,6
4,61667	81,6
4,63333	81,6
4,65000	81,5
4,66667	81,5
4,68333	81,4
4,70000	81,4
4,71667	81,4
4,73333	81,4
4,75000	81,2
4,76667	81,2
4,78333	81,1
4,80000	81,1
4,81667	81,1
4,83333	81,1
4,85000	81,0
4,86667	80,9
4,88333	80,9
4,90000	80,8
4,91667	80,8
4,93333	80,8
4,95000	80,8
4,96667	80,8
4,98333	80,8
5,00000	80,8
5,01667	80,8
5,03333	80,8
5,05000	80,8
5,06667	80,9
5,08333	80,9
5,10000	81,0
5,11667	81,0
5,13333	81,0
5,15000	81,1
5,16667	81,1
5,18333	81,1
5,20000	81,1
5,21667	81,1
5,23333	81,1
5,25000	81,2
5,26667	81,2
5,28333	81,2
5,30000	81,2
5,31667	81,3
5,33333	81,3
5,35000	81,3
5,36667	81,2
5,38333	81,2
5,40000	81,2
5,41667	81,2
5,43333	81,2
5,45000	81,3
5,46667	81,2
5,48333	81,3
5,50000	81,3
5,51667	81,3
5,53333	81,3
5,55000	81,3
5,56667	81,3
5,58333	81,3
5,60000	81,3
5,61667	81,4
5,63333	81,4
5,65000	81,3
5,66667	81,4
5,68333	81,4
5,70000	81,3
5,71667	81,4
5,73333	81,4
5,75000	81,4
5,76667	81,4
5,78333	81,4
5,80000	81,4
5,81667	81,5
5,83333	81,5
5,85000	81,5
5,86667	81,5
5,88333	81,5
5,90000	81,5
5,91667	81,6
5,93333	81,6
5,95000	81,6
5,96667	81,5
5,98333	81,6
6,00000	81,5
6,01667	81,5
6,03333	81,5
6,05000	81,5
6,06667	81,5
6,08333	81,6
6,10000	81,5
6,11667	81,5
6,13333	81,5
6,15000	81,5
6,16667	81,7
6,18333	81,6
6,20000	81,7
6,21667	81,6
6,23333	81,6
6,25000	81,6
6,26667	81,6
6,28333	81,6
6,30000	81,6
6,31667	81,5
6,33333	81,5
6,35000	81,6
6,36667	81,6
6,38333	81,6
6,40000	81,6
6,41667	81,7
6,43333	81,7
6,45000	81,6
6,46667	81,6
6,48333	81,6
6,50000	81,7
6,51667	81,7
6,53333	81,7
6,55000	81,7
6,56667	81,7
6,58333	81,8
6,60000	81,7
6,61667	81,6
6,63333	81,6
6,65000	81,7
6,66667	81,7
6,68333	81,7
6,70000	81,7
6,71667	81,7
6,73333	81,7
6,75000	81,8
6,76667	81,8
6,78333	81,8
6,80000	81,7
6,81667	81,7
6,83333	81,7
6,85000	81,8
6,86667	81,8
6,88333	81,8
6,90000	81,7
6,91667	81,8
6,93333	81,8
6,95000	81,8
6,96667	81,8
6,98333	81,7
7,00000	81,8
7,01667	81,8
7,03333	81,8
7,05000	81,8
7,06667	81,8
7,08333	81,8
7,10000	81,8
7,11667	81,9
7,13333	81,9
7,15000	81,8
7,16667	81,8
7,18333	81,8
7,20000	81,8
7,21667	81,8
7,23333	81,8
7,25000	81,9
7,26667	81,9
7,28333	81,8
7,30000	81,8
7,31667	81,9
7,33333	81,9
7,35000	81,9
7,36667	81,9
7,38333	81,9
7,40000	81,9
7,41667	81,9
7,43333	81,9
7,45000	81,9
7,46667	82,0
7,48333	81,9
7,50000	81,9
7,51667	81,9
7,53333	81,9
7,55000	81,9
7,56667	81,8
7,58333	81,9
7,60000	81,8
7,61667	81,9
7,63333	81,9
7,65000	81,9
7,66667	81,9
7,68333	81,9
7,70000	82,0
7,71667	81,9
7,73333	81,9
7,75000	81,9
7,76667	82,0
7,78333	81,9
7,80000	82,0
7,81667	82,0
7,83333	82,0
7,85000	81,9
7,86667	81,9
7,88333	82,0
7,90000	81,8
7,91667	82,0
7,93333	82,0
7,95000	81,9
7,96667	81,9
7,98333	82,0
8,00000	82,0
8,01667	81,9
8,03333	81,9
8,05000	81,9
8,06667	82,0
8,08333	81,9
8,10000	81,9
8,11667	81,8
8,13333	81,8
8,15000	81,9
8,16667	81,9
8,18333	81,9
8,20000	82,0
8,21667	82,0
8,23333	82,0
8,25000	82,0
8,26667	82,0
8,28333	82,0
8,30000	81,9
8,31667	82,0
8,33333	82,0
8,35000	82,0
8,36667	81,9
8,38333	81,9
8,40000	82,0
8,41667	82,0
8,43333	82,0
8,45000	81,9
8,46667	81,9
8,48333	81,9
8,50000	81,9
8,51667	81,9
8,53333	81,9
8,55000	81,9
8,56667	82,0
8,58333	81,9
8,60000	81,9
8,61667	81,9
8,63333	81,9
8,65000	81,9
8,66667	81,9
8,68333	81,9
8,70000	81,9
8,71667	82,0
8,73333	82,0
8,75000	81,9
8,76667	81,9
8,78333	81,9
8,80000	81,9
8,81667	82,0
8,83333	82,0
8,85000	82,0
8,86667	81,9
8,88333	81,9
8,90000	81,9
8,91667	82,0
8,93333	82,0
8,95000	81,9
8,96667	81,9
8,98333	81,9
9,00000	82,0
9,01667	81,9
9,03333	81,9
9,05000	82,0
9,06667	81,9
9,08333	81,9
9,10000	81,9
9,11667	81,9
9,13333	81,9
9,15000	81,9
9,16667	81,9
9,18333	81,9
9,20000	81,9
9,21667	81,8
9,23333	81,8
9,25000	81,9
9,26667	81,9
9,28333	81,9
9,30000	81,8
9,31667	81,9
9,33333	81,9
9,35000	81,9
9,36667	81,8
9,38333	81,9
9,40000	81,9
9,41667	81,9
9,43333	81,9
9,45000	81,9
9,46667	81,8
9,48333	81,9
9,50000	81,8
9,51667	81,9
9,53333	81,9
9,55000	81,9
9,56667	81,8
9,58333	81,9
9,60000	81,8
9,61667	81,9
